ator_id	titulo_id	nome_personagem
nm3081796	tt10633456	Jacob
nm0005342	tt1064801	Mac
nm3154303	tt10687116	Jimmy
nm0799777	tt10726424	Jackson Pepper
nm1684869	tt10832644	Loki
nm1684869	tt10832644	Moon Knight
nm0000206	tt10838180	Neo
nm0000206	tt10838180	Thomas Anderson
nm1659221	tt1084950	Walter
nm1659221	tt1084950	Bowtie Party Guest
nm0000206	tt1086064	Ted
nm0604742	tt1092634	Conner
nm0799777	tt1095174	Stu Kopenhafer
nm3081796	tt10954984	Ricky 'Jupe' Park
nm4911194	tt11024272	Phoebe
nm1684869	tt11056052	Hex
nm2794962	tt11126994	Vi
nm3480246	tt11126994	Jinx
nm3480246	tt11126994	Older Powder
nm1684869	tt11131586	John Jones
nm1684869	tt11131586	Agent Jonesy
nm1684869	tt11164170	Abaddon
nm3480246	tt11218290	Rhiannon
nm5700898	tt11245972	Amber Freeman
nm4911194	tt11245972	Tara Carpenter
nm5301405	tt11271800	Marsha
nm3154303	tt11286314	Yule
nm0799777	tt1133995	Sergeant Mitchell
nm2215143	tt11343686	Lou Simms
nm1659221	tt1137462	Jack Benjamin
nm1684869	tt1139644	Additional Voices
nm0799777	tt1142433	Roy Davies
nm2215143	tt11426232	Jamie Hughes
nm2215143	tt11426232	Collette
nm1684869	tt11444410	Sgt. Matt Baker
nm1684869	tt11517730	Erron Black
nm1684869	tt11517730	Shinnok
nm0799777	tt1155056	Oswald Klaven
nm3154303	tt11563598	Bob Dylan
nm1102577	tt11563598	Sylvie Russo
nm3154303	tt11563598	Desconhecido
nm1684869	tt11567244	The Godslayer
nm3154303	tt1160419	Paul Atreides
nm5301405	tt11703050	Mabel (segment 'I')
nm0799777	tt1183921	Donald Sinclaire
nm4911194	tt11847410	Vada Cavell
nm1659221	tt1186370	Harry
nm0005342	tt1188729	Shepard
nm0799777	tt1193138	Bob
nm3528821	tt11932678	Angie Blackburn
nm0799777	tt1196134	Ed
nm1684869	tt1196942	The Guitarist
nm0799777	tt1198194	President Howard T. Ackerman
nm1684869	tt12013106	Abel Nightroad
