ator_id	titulo_id	nome_personagem
nm1684869	tt4656392	Two-Face
nm1684869	tt4656392	Honest Joe Statler
nm0799777	tt4662420	Frank Gallo
nm1684869	tt4671780	Two-Face
nm1684869	tt4671780	Robin
nm2794962	tt4701182	Charlie
nm0799777	tt4729430	Klaus
nm1684869	tt4729754	The Joker
nm5301405	tt4731136	Hannah
nm1684869	tt4734094	Rattle Shake
nm1684869	tt4734094	Sunburn
nm2794962	tt4765284	Emily
nm1102577	tt4777008	Aurora
nm1684869	tt4818178	Joker
nm5301405	tt4827558	Boyse
nm3154303	tt4925292	Kyle Scheible
nm1684869	tt4938416	Batman
nm1684869	tt4938416	Bruce Wayne
nm0799777	tt4995540	William Frawley
nm1869101	tt5032026	Cris
nm1684869	tt5096214	Dampierre
nm0005342	tt5103670	Daryl Dixon
nm1684869	tt5204442	Logan Thackeray
nm0000206	tt5228262	Bob
nm1684869	tt5235048	Yamato
nm1684869	tt5235048	Pain
nm1684869	tt5251438	Batman
nm1684869	tt5251438	Bruce Wayne
nm1684869	tt5252618	Yamato
nm0799777	tt5253282	Bill Palet
nm1684869	tt5272052	Loki
nm1684869	tt5299148	Cole Rainsford
nm0000206	tt5324116	Tex
nm1684869	tt5371572	Hawkeye
nm1684869	tt5435312	Gul'dan
nm1659221	tt5580036	Jeff
nm3081796	tt5580664	Keith
nm1102577	tt5592248	Alicia
nm1684869	tt5612702	Batman
nm1684869	tt5612702	Scarecrow
nm0799777	tt5657712	Steve
nm1659221	tt5657712	Steve
nm1684869	tt5659710	Dryden
nm1684869	tt5659710	Jurgis
nm1684869	tt5659710	Killian von Rohcoff
nm4911194	tt5670364	Dawn
nm3081796	tt5688932	Squeeze
nm3154303	tt5726616	Elio
nm1684869	tt5785964	Batman
nm1684869	tt5785964	Bruce Wayne
nm1684869	tt5785964	Thomas Wayne
nm1684869	tt5807562	Jason Todd
nm0005342	tt5807606	Sam Porter Bridges
nm1684869	tt5807606	Higgs Monaghan
nm5301405	tt5886440	Jane
nm1659221	tt5952138	Charles Blackwood
nm0000206	tt6146586	John Wick
nm3154303	tt6166392	Willy Wonka
nm1102577	tt6169694	Grace
nm0799777	tt6241390	Dr. Moore
nm3480246	tt6290798	Natalie
nm1684869	tt6298000	Joel
nm1684869	tt6304452	Samuel Drake
nm3081796	tt6317068	Little Cato
nm3081796	tt6317068	Additional Voices
nm3081796	tt6317068	Infinity Guard Captain
nm1684869	tt6357658	Baki
nm1684869	tt6357658	Baki Hanma
nm0799777	tt6385768	Joey
nm5700898	tt6456222	Kathleen
nm1684869	tt6468680	Bruce Banner
nm1102577	tt6483364	Violet
nm0000206	tt6494418	Lucas Hill
nm1684869	tt6579422	Talion
nm3081796	tt6741278	Mark Grayson
nm3081796	tt6741278	Invincible
nm3081796	tt6741278	Alternate Invincibles
nm0799777	tt6741278	Nolan Grayson
nm0799777	tt6741278	Omni-Man
nm1869101	tt6760876	Ana Magarita Martinez
nm0604742	tt6975842	Butch Slater
nm1684869	tt6976098	Biowulf
nm1684869	tt6976098	Van Kleiss
nm0799777	tt6976098	White Knight
nm0000206	tt6987770	Frank
nm0799777	tt7068946	Ray King
nm0799777	tt7074886	Bill Dixon
nm2581521	tt7131622	Tex Watson
nm1659221	tt7137380	Chris
nm3154303	tt7139936	Gatsby
nm1102577	tt7139936	Ashleigh
nm1684869	tt7170214	Batman
nm1684869	tt7170214	Bruce Wayne
nm1684869	tt7170214	Goon 3
nm1869101	tt7181546	Eve
nm0000206	tt7181546	John Wick
nm0005342	tt7181546	Pine
nm1684869	tt7182456	'ECHO ONE'
nm1684869	tt7182456	Jack
nm3081796	tt7282468	Ben
nm2215143	tt7315484	Ally Andrews
nm0000206	tt7374948	Keanu Reeves
nm1659221	tt7395114	Deputy Lee Bodecker
nm5700898	tt7539904	Kat
nm3480246	tt7563270	Tess
nm2215143	tt7569592	Sabrina Spellman
nm3081796	tt7736558	Steve
nm1684869	tt7877382	Batman
nm1684869	tt7877382	Bruce Wayne
nm1869101	tt7979142	Andrea Rivera
nm4911194	tt7991508	Mabel
nm3081796	tt8036272	Speckle
nm1684869	tt8050740	Additional Voices
nm1684869	tt8050740	Grime
nm1684869	tt8050740	Cloak-Bot
nm0005342	tt8170404	Bacchus LaBrute
nm4911194	tt8310486	Cairo Sweet
nm1869101	tt8356008	Elena Ramirez
nm1659221	tt8356942	Nick Fowler
nm1659221	tt8368368	Donald Trump
nm0799777	tt8417168	Gnash
nm0799777	tt8456190	Claggart
nm1684869	tt8457394	Batman
nm2794962	tt8518136	Emily Dickinson
nm4911194	tt8521876	Katie Torres
nm1684869	tt8633824	Kei Nanjo
nm0799777	tt8688634	Captain McKenna
nm0799777	tt8746404	Zeus
nm1869101	tt8750570	Carolina Larriera
nm3154303	tt8847712	Zeffirelli
nm1659221	tt8884906	Mickey
nm0000206	tt8912936	Batman
nm1869101	tt8946378	Marta Cabrera
nm3081796	tt8995000	Keith
nm1659221	tt9147456	Frank
nm5301405	tt9214832	Harriet Smith
nm2794962	tt9362722	Gwen Stacy
nm1684869	tt9398566	Erron Black
nm1684869	tt9398566	Shinnok
nm1102577	tt9411866	Molly
nm0604742	tt9419056	Gerry Fenn
nm0799777	tt9484998	Roy
nm1684869	tt9734584	Robin
nm1684869	tt9734584	Tim Drake
nm1684869	tt9734584	G.C.P.D. Officer
nm1684869	tt9775360	Batman
nm1684869	tt9775360	Joker
nm0799777	tt9777666	James Forester
nm3480246	tt9795876	Gwyn
nm3480246	tt9795876	Holo Gwyn
nm3480246	tt9795876	Enderprizians
